"timestamp [UTC]",message
"3/17/2021, 10:59:31.231 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 10:59:37.231 PM","[270464972:2] SENT: Begin{remoteChannel=null, nextOutgoingId=1, incomingWindow=2047, outgoingWindow=2147483647, handleMax=65535, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 10:59:37.233 PM","[270464972:2] RECV: Begin{remoteChannel=2, nextOutgoingId=1, incomingWindow=5000, outgoingWindow=2047, handleMax=255, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 10:59:37.233 PM","[270464972:2] SENT: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:454:1:**-test-out-**', handle=0, role=SENDER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:454:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=0, maxMessageSize=null, offeredCapabilities=null, desiredCapabilities=[DELAYED_DELIVERY], properties=null}"
"3/17/2021, 10:59:37.237 PM","[270464972:13] SENT: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 10:59:37.237 PM","[270464972:2] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=0, deliveryCount=0, linkCredit=1000, available=0, drain=false, echo=false, properties=null}"
"3/17/2021, 10:59:37.237 PM","[270464972:2] RECV: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:454:1:**-test-out-**', handle=0, role=RECEIVER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:454:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=null, maxMessageSize=1048576, offeredCapabilities=[DELAYED_DELIVERY], desiredCapabilities=null, properties=null}"
"3/17/2021, 10:59:37.238 PM","[270464972:13] RECV: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 10:59:37.239 PM","[270464972:13] SENT: End{error=null}"
"3/17/2021, 10:59:37.240 PM","[270464972:13] RECV: End{error=null}"
"3/17/2021, 11:00:03.583 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:00:29.909 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:00:56.251 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:01:22.587 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:01:48.918 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:01:57.452 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 11:02:15.209 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:02:31.158 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 11:02:57.415 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:03:23.667 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:03:49.982 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:03:57.452 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 11:04:16.289 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:04:27.232 PM","[270464972:13] SENT: Begin{remoteChannel=null, nextOutgoingId=1, incomingWindow=2047, outgoingWindow=2147483647, handleMax=65535, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
